home,Belskogo 1,d@rt,ACCESS
nohome,Belskogo 187,d@rt,ADMIN_ACCESS,leha@mail.ru,p@kj,lo@kkd,sasha@mail.ru,Aleshka@mail.ru,ola@mail.ru,f@hyh,dfd@dfdf,e@yyy,dd@yyy,h@tt,l@www,vas@mail.rujj,vasi@mail.ru
athome,Belskogo 186,d@rt,ACCESS
home1,Belskogo 155,d@rt,ACCESS
fatherhome,Belskogo 181,d@rt,ADMIN_ACCESS,leha@mail.ru,ola@mail.ru,Aleshka@mail.ru,p@kj,lo@kkd
School,Belskogo 55,d@rt,ADMIN_ACCESS,Aleshka@mail.ru,p@kj
Univercity,Belskogo 22,Aleshka@mail.ru,ADMIN_ACCESS,puzo@mail.ru
Gym,Chailytko,Aleshka@mail.ru,ADMIN_ACCESS,p@kj
ParentsHome,Gurskogo 39,Aleshka@mail.ru,ACCESS
HomeLods,Belskogo 18,Aleshka@mail.ru,ACCESS
HomeOfFarther,Gurskogo 39.12,puzo@mail.ru,ADMIN_ACCESS,lo@kkd
HomeOfMother,Gurskogo 44,puzo@mail.ru,ACCESS
Rest house,forest,Aleshka@mail.ru,ADMIN_ACCESS
