Univercity,Belskogo 22,Aleshka@mail.ru
Gym,Chailytko,Aleshka@mail.ru
ParentsHome,Gurskogo 39,Aleshka@mail.ru
HomeLods,Belskogo 18,Aleshka@mail.ru
HomeOfFarther,Gurskogo 39.12,puzo@mail.ru
HomeOfMother,Gurskogo 44,puzo@mail.ru,v@m.ru,oleg@mail.ru,val@mail.ru,puzo@mail.ru
Rest house,forest,Aleshka@mail.ru
My Place,Odoevskogo 100,pavel@mail.ru
All Place,Odotvskogo 200,pavel@mail.ru,v@m.ru,sasha@mail.ru,Aleshka@mail.ru
ValinHome,Street,val@mail.ru
OldHouse,Street 25,oleg@mail.ru
NewHouse,Street 28,oleg@mail.ru
Location1,Street 40,olga@mail.ru,val@mail.ru,v@m.ru,olga@mail.ru
